Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
5VBSQXL7,journalArticle,1994,"Roy, David M.; Panayi, Marilyn; Foulds, Richard; Erenshteyn, Roman; Harwin, William S.; Fawcus, Robert",The Enhancement of Interaction for People with Severe Speech and Physical Impairment through the Computer Recognition of Gesture and Manipulation,Presence: Teleoperators and Virtual Environments,,"1054-7460, 1531-3263",10.1162/pres.1994.3.3.227,http://www.mitpressjournals.org/doi/10.1162/pres.1994.3.3.227,,1994-01,2018-04-03 13:59:26,2019-08-17 21:34:26,2018-02-28 10:06:56,227-235,,3,3,,,,,,,,,,en,,,,,CrossRef,,,,,,GoogleScholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRZQW3M2,conferencePaper,1999,"Quek, F.; McNeill, D.; Ansari, R.; Ma, Xin-Feng; Bryll, R.; Duncan, S.; McCullough, K. E.",Gesture cues for conversational interaction in monocular video,"International Workshop on Recognition, Analysis, and Tracking of Faces and Gestures in Real-Time Systems, 1999. Proceedings",,,10.1109/RATFG.1999.799234,,"We present our work on the determination of cues for discourse segmentation in free-form gesticulation accompanying speech in natural conversation. The basis for this integrating between gesticulation and speech discourse is the psycholinguistic concept of the co-equal generation of gesture and speech from the same semantic intent. We use the psycholinguistic device known as the `catchment' as the locus around which this integration proceeds. We videotape gesture and speech elicitation experiments in which a subject describes her living space to an interlocutor. We extract the gestural motion of both hands using the Vector Coherence Mapping algorithm that combines spatial, momentum and skin color constraints in parallel using a fuzzy image processing approach. We extract the voiced units in the discourse as F0 units are correlate these with transcribed speech. Psycholinguistics researchers perceptually micro-analyze the same video tape to produce a transcript that is annotated with the video timestamp and perceived gesture-speech entities. These serve to direct our high level analysis of the gesture trace and F0 data. We report the results of our analysis that show that the feature of `handedness' and the kind of symmetry in two-handed gestures provide effective cues for discourse segmentation. We also present observations on how the gesture traces provide cues to segment hand use, high level discourse repair and super-segmental cues for discourse grouping",1999,2019-05-11 16:54:08,2019-08-17 21:24:11,,119-126,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,/home/judith/snap/zotero-snap/common/Zotero/storage/34NZ9GQZ/Quek et al. - 1999 - Gesture cues for conversational interaction in mon.html; /home/judith/snap/zotero-snap/common/Zotero/storage/JPXZ2XA6/Quek et al. - 1999 - Gesture cues for conversational interaction in mon.pdf,,GoogleScholar,gesture recognition; speech recognition; conversational interaction; Color; computer vision; discourse grouping; discourse segmentation; fuzzy image processing; gesture cues; gesture-speech entities; Image converters; Image processing; Image segmentation; Laboratories; Machine vision; monocular video; natural conversation; psycholinguistic concept; Psychology; Read only memory; Skin; Speech analysis; speech discourse; speech elicitation experiments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Workshop on Recognition, Analysis, and Tracking of Faces and Gestures in Real-Time Systems, 1999. Proceedings",,,,,,,,,,,,,,,
5DV5DJAR,journalArticle,2002,"Quek, Francis; McNeill, David; Bryll, Robert; Duncan, Susan; Ma, Xin-Feng; Kirbas, Cemil; McCullough, Karl E.; Ansari, Rashid",Multimodal Human Discourse: Gesture and Speech,ACM Trans. Comput.-Hum. Interact.,,1073-0516,10.1145/568513.568514,http://doi.acm.org/10.1145/568513.568514,"Gesture and speech combine to form a rich basis for human conversational interaction. To exploit these modalities in HCI, we need to understand the interplay between them and the way in which they support communication. We propose a framework for the gesture research done to date, and present our work on the cross-modal cues for discourse segmentation in free-form gesticulation accompanying speech in natural conversation as a new paradigm for such multimodal interaction. The basis for this integration is the psycholinguistic concept of the coequal generation of gesture and speech from the same semantic intent. We present a detailed case study of a gesture and speech elicitation experiment in which a subject describes her living space to an interlocutor. We perform two independent sets of analyses on the video and audio data: video and audio analysis to extract segmentation cues, and expert transcription of the speech and gesture data by microanalyzing the videotape using a frame-accurate videoplayer to correlate the speech with the gestural entities. We compare the results of both analyses to identify the cues accessible in the gestural and audio data that correlate well with the expert psycholinguistic analysis. We show that ""handedness"" and the kind of symmetry in two-handed gestures provide effective supersegmental discourse cues.",2002-09,2018-04-03 16:44:45,2018-04-03 16:45:05,2018-02-26 14:24:12,171–193,,3,9,,,Multimodal Human Discourse,,,,,,,,,,,,ACM Digital Library,,,,,,ACM,gesture; conversational interaction; discourse; gesture analysis; human interaction models; Multimodal interaction; speech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERAG32B8,conferencePaper,2005,"Wobbrock, Jacob O.; Aung, Htet Htet; Rothrock, Brandon; Myers, Brad A.",Maximizing the guessability of symbolic input,CHI '05 Extended Abstracts on Human Factors in Computing Systems,978-1-59593-002-6,,10.1145/1056808.1057043,https://doi.org/10.1145/1056808.1057043,"Guessability is essential for symbolic input, in which users enter gestures or keywords to indicate characters or commands, or rely on labels or icons to access features. We present a unified approach to both maximizing and evaluating the guessability of symbolic input. This approach can be used by anyone wishing to design a symbol set with high guessability, or to evaluate the guessability of an existing symbol set. We also present formulae for quantifying guessability and agreement among guesses. An example is offered in which the guessability of the EdgeWrite unistroke alphabet was improved by users from 51.0% to 80.1% without designer intervention. The original and improved alphabets were then tested for their immediate usability with the procedure used by MacKenzie and Zhang (1997). Users entered the original alphabet with 78.8% and 90.2% accuracy after 1 and 5 minutes of learning, respectively. The improved alphabet bettered this to 81.6% and 94.2%. These improved results were competitive with prior results for Graffiti, which were 81.8% and 95.8% for the same measures.",2005-04-02,2020-01-25 14:37:38,2020-03-28 16:17:20,2020-01-25,1869–1872,,,,,,,CHI EA '05,,,,Association for Computing Machinery,"Portland, OR, USA",,,,,,ACM Digital Library,,,,,,ACM,gestures; guessability; referents; command-line; commands; edgewrite; icons; immediate usability; keywords; labels; proposals; symbols; text entry; unistrokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QQMRRS54,conferencePaper,2006,"Ruiz, Natalie; Chen, Fang; Choi, Eric",Exploratory Study of Lexical Patterns in Multimodal Cues,Proceedings of the 2005 NICTA-HCSNet Multimodal User Interaction Workshop - Volume 57,978-1-920682-39-2,,,http://dl.acm.org/citation.cfm?id=1151804.1151812,"Multimodal cues present in human-human dialogue help us to interpret other people's utterances. We undertake an exploratory study into the relationships of multimodal cues and communicative acts, i.e. between what people say and what people do when interacting with one another. If any such patterns are found and can be recognised, they could be exploited to support the understanding of multimodal interaction behaviours and interface design. Initial analysis of lexical categories and hand/arm gestures suggests some categories are more strongly associated with certain gesture types, in particular nouns and pronouns are emphasised in 87% of multimodal production acts involving deictic gestures.",2006,2019-08-15 21:40:44,2019-08-16 21:38:09,2019-08-15 21:40:44,47–50,,,,,,,MMUI '05,,,,"Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",,,,,,ACM Digital Library,,"event-place: Sydney, Australia",,/home/judith/snap/zotero-snap/common/Zotero/storage/7I3KXBUT/Ruiz et al. - 2006 - Exploratory Study of Lexical Patterns in Multimoda.pdf,,ACM,speech; gesture annotation; experimental studies; lexical categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4MAEQRGK,conferencePaper,2009,"Wobbrock, Jacob O.; Morris, Meredith Ringel; Wilson, Andrew D.",User-defined Gestures for Surface Computing,,978-1-60558-246-7,,10.1145/1518701.1518866,http://doi.acm.org/10.1145/1518701.1518866,"Many surface computing prototypes have employed gestures created by system designers. Although such gestures are appropriate for early investigations, they are not necessarily reflective of user behavior. We present an approach to designing tabletop gestures that relies on eliciting gestures from non-technical users by first portraying the effect of a gesture, and then asking users to perform its cause. In all, 1080 gestures from 20 participants were logged, analyzed, and paired with think-aloud data for 27 commands performed with 1 and 2 hands. Our findings indicate that users rarely care about the number of fingers they employ, that one hand is preferred to two, that desktop idioms strongly influence users' mental models, and that some commands elicit little gestural agreement, suggesting the need for on-screen widgets. We also present a complete user-defined gesture set, quantitative agreement scores, implications for surface technology, and a taxonomy of surface gestures. Our results will help designers create better gesture sets informed by user behavior.",2009,2018-04-03 13:53:32,2018-04-03 13:53:32,2018-02-23 12:17:40,1083–1092,,,,,,,CHI '09,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,/home/judith/snap/zotero-snap/common/Zotero/storage/MLWRJF7L/Wobbrock et al. - 2009 - User-defined Gestures for Surface Computing.pdf,,ACM,gesture recognition; gestures; think-aloud; guessability; referents; signs; surface; tabletop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E96MJBT2,conferencePaper,2009,"Frisch, Mathias; Heydekorn, Jens; Dachselt, Raimund",Investigating Multi-touch and Pen Gestures for Diagram Editing on Interactive Surfaces,,978-1-60558-733-2,,10.1145/1731903.1731933,http://doi.acm.org/10.1145/1731903.1731933,"Creating and editing large graphs and node-link diagrams are crucial activities in many application areas. For them, we consider multi-touch and pen input on interactive surfaces as very promising. This fundamental work presents a user study investigating how people edit node-link diagrams on an interactive tabletop. The study covers a set of basic operations, such as creating, moving, and deleting diagram elements. Participants were asked to perform spontaneous gestures for 14 given tasks. They could interact in three different ways: using one hand, both hands, as well as pen and hand together. The subjects' activities were observed and recorded in various ways, analyzed and enriched with think-aloud data. As a result, we contribute a user-elicited collection of touch and pen gestures for editing node-link diagrams. The study provides valuable insight how people would interact on interactive surfaces for this as well as other tabletop domains.",2009,2018-04-03 13:38:47,2018-04-03 13:38:47,2018-02-23 14:01:48,149–156,,,,,,,ITS '09,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,/home/judith/snap/zotero-snap/common/Zotero/storage/CHEPR9QR/Frisch et al. - 2009 - Investigating Multi-touch and Pen Gestures for Dia.pdf,,ACM,tabletop; multi-touch; bimanual input; diagram editing; hand gestures; node-link diagrams; pen interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6DFTSKA,conferencePaper,2010,"Henze, Niels; Löcken, Andreas; Boll, Susanne; Hesselmann, Tobias; Pielot, Martin",Free-hand Gestures for Music Playback: Deriving Gestures with a User-centred Process,Proceedings of the 9th International Conference on Mobile and Ubiquitous Multimedia,978-1-4503-0424-5,,10.1145/1899475.1899491,http://doi.acm.org/10.1145/1899475.1899491,"Music is a fundamental part of most cultures. Controlling music playback has commonly been used to demonstrate new interaction techniques and algorithm. In particular, controlling music playback has been used to demonstrate and evaluate gesture recognition algorithms. Previous work, however, used gestures that have been defined based on intuition, the developers' preferences, and the respective algorithm's capabilities. In this paper we propose a refined process for deriving gestures from constant user feedback. Along this process a set of free-hand gestures for controlling music playback is developed. The situational context is analyzed to shape the usage scenario and derive an initial set of necessary functions. In a successive user study the set of functions is validated. Furthermore, proposals for gestures are collected from the participants for each function. Two gesture sets containing static and dynamic gestures are derived and analyzed in a comparative evaluation. The evaluation shows that we developed an appropriate set of free-hand gestures for music playback. Our results indicate that the proposed process, that includes validation of each design decision, improves the final results.",2010,2018-04-03 19:26:14,2019-05-11 05:20:23,2019-04-12 20:11:35,16:1–16:10,,,,,,Free-hand Gestures for Music Playback,MUM '10,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,"event-place: Limassol, Cyprus",,/home/judith/snap/zotero-snap/common/Zotero/storage/XH99MYJE/Henze et al. - 2010 - Free-hand Gestures for Music Playback Deriving Ge.pdf,,ACM; gesture recognition; gestures; camera; CD; music; process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUBYL48D,conferencePaper,2010,"Mauney, Dan; Howarth, Jonathan; Wirtanen, Andrew; Capra, Miranda",Cultural Similarities and Differences in User-defined Gestures for Touchscreen User Interfaces,,978-1-60558-930-5,,10.1145/1753846.1754095,http://doi.acm.org/10.1145/1753846.1754095,"As the first phase of a two-phase project, the International Usability Partners (IUP; http://www.international-usability-partners.com/) conducted a study in nine different countries to identify cultural similarities and differences in the use of gestures on small, handheld, touchscreen user interfaces. A total of 340 participants in the study were asked to define their own gestures for 28 common actions like ""zoom"" and ""copy"" on a custom-constructed gesture recorder that simulated a handheld touchscreen device. Actions were described pictorially by showing participants a ""before"" screen and an ""after"" screen to clarify the exact context for each action. Initial analysis suggests four primary findings. The first is that there is generally a high level of agreement across cultures. One exception, however, is the use of symbolic gestures; Chinese participants created significantly (p < .01) more symbolic gestures (e.g. letters, question mark, check mark) than participants from other countries. The second finding is that experience with gesture-enabled devices influenced the gestures that participants created for the following actions: back, forward, scroll up, and scroll down. The third finding is that when a gesture to elicit an action was not immediately identifiable, participants generally tapped on the screen to bring up a menu. The final finding is that there is higher agreement on actions that can be performed through direct manipulation and lower agreement scores on actions that are more symbolic in nature. Phase two of this research effort will be to present the most common three to five user-defined gestures for each action to a large number of participants and ask them to select the gesture that they believe to be the most intuitive gesture for that action.",2010,2018-04-03 13:34:18,2018-04-03 13:34:18,2018-02-28 20:15:54,4015–4020,,,,,,,CHI EA '10,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,ACM,cultural differences; gesture-based user interfaces; multi-touch devices; user experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB3KYC9T,conferencePaper,2010,"Morris, Meredith Ringel; Wobbrock, Jacob O.; Wilson, Andrew D.",Understanding Users' Preferences for Surface Gestures,,978-1-56881-712-5,,,http://dl.acm.org/citation.cfm?id=1839214.1839260,"We compare two gesture sets for interactive surfaces---a set of gestures created by an end-user elicitation method and a set of gestures authored by three HCI researchers. Twenty-two participants who were blind to the gestures' authorship evaluated 81 gestures presented and performed on a Microsoft Surface. Our findings indicate that participants preferred gestures authored by larger groups of people, such as those created by end-user elicitation methodologies or those proposed by more than one researcher. This preference pattern seems to arise in part because the HCI researchers proposed more physically and conceptually complex gestures than end-users. We discuss our findings in detail, including the implications for surface gesture design.",2010,2019-05-11 19:32:27,2019-08-17 21:47:53,2018-02-25 23:07:13,261–268,,,,,,,GI '10,,,,Canadian Information Processing Society,"Toronto, Ont., Canada, Canada",,,,,,ACM Digital Library,,,,,,GoogleScholar,gestures; surface computing; interactive tabletops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
